title,companies,location,modality,description
DATA GENERATION SPECIALIST,Giesecke+Devrient,"El Prat de Llobregat, Catalonia, Spain",Hybrid,"
                En G+D Mobile Security buscamos incorporar un/a Ingeniero especializado en el tratamiento y la gestión de datos de claves criptográficas que formará parte del para el equipo de Procesamiento de datos donde desarrollamos un producto propio de seguridad que garantiza la seguridad de los datos confidenciales de los chips y dar servicios de pago e identidad seguros al elemento (Operadoras telefonía, Bancos, Fabricantes de smartphones, Fabricantes de Vehículos, etc)
Misión
Contribuir en el ciclo de vida de proyectos de cliente bancario, centrándose en el servicio de generación de datos, que incluye: configuración, validación, documentación, monitorización y mantenimiento de los sistemas de generación de datos así como de los entornos productivos, además de dar soporte técnico continuo; con el fin de facilitar a producción los datos necesarios para la personalización de las tarjetas de la forma más óptima posible.
Funciones principales
 Gestión de proyectos entre entornos de producción para la generación de datos, realizando test unitario, del sistema y de aceptación del usuario. Encargarse de la inspección, validación y/o retoque de los datos entrantes para la posterior personalización de tarjetas, incluyendo el retorno de datos al cliente cuando sea necesario.- Monitorización y mantenimiento de los sistemas y de los entornos de procesado de datos.- Realizar el mantenimiento de las bases de datos y generar los informes estadísticos sobre datos existentes en ellas. Dar soporte a los centros de producción y a otros equipos para problemas, implementación y lanzamientos. Preparar los datos y realizar muestras físicas cuando sea necesario, tanto para el uso interno como para clientes y homologaciones. Completar la documentación necesaria de proyecto o de mantenimiento de los sistemas y adherirse a los procesos de gestión de cambios. Interfaz con los responsables de proyectos de cliente para actualizar el estado y el progreso de los trabajos del proyecto. Coordinar con otros equipos (por ejemplo, Customization, I+D, Ingeniería de procesos, CPM,…) para garantizar que los entregables del proyecto se cumplan a tiempo y según el esfuerzo de trabajo cotizado. Asegurar el cumplimiento del código de conducta, de la política corporativa, de los procedimientos, normas y compromisos internos de la empresa (ISO 9001, ISO 14001, OSHAS18001, IATF 16949…) y de ésta con los clientes (medidas de seguridad, plazos, requerimientos específicos de clientes, calidad y confidencialidad), las entidades (PCI, VISA, MASTERCARD, Cartes Bancaires, GMSA, Common Criteria, EMVCO, Bancontact, Bancomat, SENASA…); así como la legislación vigente en materia de protección de datos personales.

Aptitudes, formación, conocimiento
Formación técnica recomendable: modulo superior informático (no se requiere gran conocimiento de programación ni de administración de sistemas, pero sí el estar acostumbrado a tareas informáticas o de tratamiento de datos)Ingles fluido hablado y escritoConocimientos informáticos en entornos WindowsCapacidad para la gestión multi-proyectoRecomendable conocimiento de SQLValorable experiencia en puestos de soporte técnico de Nivel 1 o Nivel 2Valorable experiencia en aplicaciones como Confluence, Jira, Bitbucket, Ansible, ….Requiere presencialidad (no permite teletrabajo)Trabajo por turnos (a corto en turnos de mañana y tarde)Ganas de trabajar en equipo, con actitud positiva y proactiva

Beneficios:
CULTURA: únete a un entorno activo y profesional, dónde el buen ambiente, trabajo en equipo y teambuilding son esenciales.FILOSOFÍA: estarás en un equipo con talento donde todo el mundo tiene voz para aportar nuevas ideas y mejoras ¡siéntete involucrado/a en G+D!HORARIO: L-J 8.30-17.30h , V 8.30-15.30h (con 1 hora de flexibilidad de entrada, la conciliación es importante para nosotros). Teletrabajo el 80% del tiempo.CONTRATO Y BENEFICIOS SOCIALES: contrato indefinido, plan de formación anual, mutua privada, parking de empresa, jornada intensiva de verano, retribución flexible (ticket transporte, ticket guardería, formación), etc.CANTINA / COMEDOR DE EMPRESA: espacio diáfano, con servicio de desayuno y comidas propio. (Precios subvencionados).UBICACIÓN: estamos ubicados en El Prat de Llobregat, salida autopista Mercabarna. Accesible en transporte público Bus 88 y 110 desde Barcelona y PR4 desde el Prat, Metro L10S, parada ZAL/Riu Vell.

 "
Data Engineer - Fintech (They/She/He),Glovo,Greater Barcelona Metropolitan Area,Hybrid,"
About Glovo

We’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Africa, and Western Asia. With food at the core of the business, Glovo delivers any product within your city at any time of day.

At Glovo, you’ll have the job of your life while working together towards our shared vision to give everyone easy access to anything in their city. We welcome top performers that will bring new ideas, diverse perspectives, and provide you the opportunities and freedom to grow and make a real impact on millions of lives… all while having fun!

We believe that diversity adds incredible value to our teams, our products, and our culture. We know that the best ideas and solutions come by bringing together people from all over the world and by fostering a culture of inclusion where everyone feels heard and has the chance to make a real impact. It's because of this that we are committed to providing equal opportunities to talent from all backgrounds.

In your application, please feel free to note which pronouns you use (For example: she/her/hers, he/him/his, they/them/theirs, etc).

Be a Part Of a Team Where You Will

Design, implement, and maintain Data Products that produce business-critical data reliably and efficiently using cloud technologies and engines for large-scale data analytics, with a particular emphasis on data-intensive applications and event-driven architecture. This role requires strong software engineering skills combined with data analytics expertise. This is our tech stack: SQL, Python, Java, Spark, Airflow, Kafka, AWS, Terraform, Docker, Datadog…

Think big and contribute to our Data Mesh strategy within Glovo, leading initiatives in the Fintech data domain. Collaborate with many Product, Engineering, and Business teams to produce relevant data products that can be used across multiple analytical use cases, but also develop and deploy in production microservices leveraging data to enable Fintech products.

Raise the bar on best practices and technical quality standards for Glovo, contributing to the technical decisions across all teams and also making impactful contributions to our code base.

Provide guidance, mentorship, and training for junior Data Engineers.

You Have
+3 years of experience working in data engineering, with a strong software engineering background Experience designing and building scalable and robust data pipelines to enable data-driven business decisions, as well as developing event-driven high-throughput data integration systemsProficiency and experience with Python, SQL, pipelines orchestration (Airflow), distributed data processing engines (Spark), event streaming (Kafka) containerized apps (Docker), cloud infrastructure (AWS)Strong understanding of software development best practices and promoter of agile methodologiesExperience in gathering requirements and creating data modeling designsExcellent spoken and written English
Nice-to-haves
Experience with JVM languages (Java, Kotlin)Experience with CI/CD tools (Github Actions, Jenkins)Experience with the Data Mesh approachExperience with Microservice architecture
Experience Our Glovo Life Benefits
Competitive Pay and Enticing Equity plan Top-notch private health insuranceMonthly Glovo credit to spend on our restaurant products Zero delivery fee on all Glovo orders! Discounted gym memberships Flexible time off (take the time you need) Flexible working model - Combining 2 days a week working from home and up to 3 weeks a year working from abroadEnhanced parental leave including nursery supportWellbeing via free online therapy and emotional support solutions External learning opportunities Office fun activities from drinks to cinema nights! 
What You'll Find When Working At Glovo
Gas: Driven to deliver quality results quicklyCare: Uplift people and the planetGood Vibes: Bring positivity and communicate openlyStay Humble: Self-aware and open to learningGlownership: Act as proud ownersHigh Bar: Focus on Top Performance
If you believe you match these values, we look forward to meeting you!

Wanna take a peek into what it's like to work at Glovo? Follow us on Instagram and like us on Facebook!

Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee.

For additional information on Glovo, please visit https://about.glovoapp.com/
 "
Data Acquisition Engineer,Applus+ IDIADA,"Barcelona, Catalonia, Spain",On-site,"
Main tasks and topics related to the position:

- Data acquisition of instrumentation at vehicles.

- Data acquisition systems and software learning.

- Data processing.

- Petrol, Hybrid and Electric vehicles manipulation.

- Lead the customization of processes and/or tools when required.

- Macro programming.

- Quality integrity and improvements.



Qualifications

Profile

- Good interpersonal skills.

- Ability to work as a team.

- Methodical and rigorous with work processes.

- CAN/Flex Ray BUS demonstrated knowledge.

- Previous experiences with data acquisition systems and data processing will be valued.

Education:

- Degree in Telecommunications or Electronics Engineering.

Languages:

- Good level of English written and spoken. German or French languages will be highly considerate (others languages will be an asset).


 "
Data Science Manager ESP,Teladoc Health,"Barcelona, Catalonia, Spain",Hybrid,"
At Teladoc Health, we’re transforming the lives of people through whole person virtual care. You’ll have the benefit to positively impact the lives of hundreds of thousands (soon millions!) of people through personalized interventions to the right person at the right time.
Come work for a data-driven innovator that’s transforming the healthcare industry. In your role as a Manager, Data science in Reporting & Business Intelligence group is focused on delivering scalable reporting solutions for internal and external stakeholders, you’ll work closely with product and client success teams to empower client-facing teams with the tools that enhance and reinforce Teladoc Health's value proposition. This role will leverage your technical skills, business acumen, and leadership as you deliver insights about our members and clients to drive decision making. You’ll collaborate closely with leaders to support scalability, helping us improve the content we deliver to clients and impact a greater number of people with chronic and behavioral conditions
Role and Responsibilities:-Manage a team of data analysts/scientists and lead them in delivering high-impact analytics for our client success teams driving client satisfaction and growth.-Build automation tools, data pipelines that help us deliver quality reports on time for a multitude of requests.-Influence upstream system/design, definitions and develop scalable solutions to meet expectations from internal/external stakeholders.-Engage with Product, Business, Engineering, and Marketing teams to understand the needs, capture requirements and be the liaison between analytics and business.Independently execute technical projects involving analysis, visualization, and experimentation as needed.-Lead strategic automation roadmap for scaled delivery of reports and data exchange to our ecosystem of clients, partners and business associates of our clients.-Partner with Product on development of new reporting platform and solutions.-Evaluate new tools/technologies for optimized delivery.
Requirements:-4+ years' experience in analytics, automation and/or data science. -Experience building roadmap from strategic vision for an end-to-end solution.-Ability to lead projects from scratch till implementation.-Strong SQL skills, ability to code in and analyze data with Python (or R), practical experience with BI tools like Tableau.-Strong critical thinking and active listening skills to infer business needs, grasp underlying context, and translate loose direction on analytical projects.-Compelling storytelling through analytics and visualization, getting your point across and keeping your audience engaged.-Strong communications and collaboration skills. Ability to work with varied functional teams. An effective team player with a fundamental respect for all people and their values.-The flexibility to respond to changing priorities and business environments.-Ability to build, mentor and manage team to efficiently execute goals while helping team members learn and grow

For a more detailed look at our company and values, visit our website at https://www.teladochealth.com/
At Teladoc Health we thrive on difference and individuality. Teladoc Health is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
 "
Business Intelligence / Data Analyst (m/f/d),TecAlliance,"Barcelona, Catalonia, Spain",Hybrid,"
                Support our business unit Information Management in the (further) development of business intelligence solutions. You will work closely with internal colleagues and report directly to the lead of our business unit.
Job Definition
 Planning is key: Defining requirements and concepts for complex data analyses Manage projects: Take responsibility for the planning, conception and realization of business intelligence projects Up-to-date: Setting-up of various evaluations, analyses and reports and develop them further according to the changed requirements (standard reporting, unit reporting, ad-hoc reporting) e.g. further development of existing dashboards to increase the degree of automation and efficiency Ground the decision making: Support the preparation, cleansing and modeling of data for decision-making purposes Drive improvement: Continuously improving of the methods and technologies used
Job Qualification
Successfully completed studies in the field of IT or economics with a specialization in statistics or or completion of comparable trainingAt least 3 years of relevant professional experience in a similar fieldSound programming skills in R / Python as well as with SAS / SQL and confident handling of BI solutions, e.g. MS-Power-BIA structured and solution-oriented way of working is part of your basic repertoireVery good communication skills in Englisch, German or Dutch language skills are a plus
 "
Ingeniero de Datos (Spark y Nifi),Apiux Tecnología,"Barcelona, Catalonia, Spain",Remote,"
⭐ ¡Apiux está buscando un/una Ingeniero/a de datos con Experiencia en Spark y Nifi ⭐ Para Barcelona España. Modalidad de trabajo TELETRABAJO.

🚀 Requisitos Imprescindibles:Experiencia como Ingeniero de datosExperiencia con Spark y Nifi.Conocimientos de MongoDB
Salario: De acuerdo a tu experiencia y pretensiones salariales.

🚀Beneficios de trabajar en APIUX TECNOLOGÍA:· Contrato indefinido.· 23 días laborables de vacaciones por año trabajado.· Apiux Academy: Formación, entrenamientos técnicos e interacción con la Comunidad Dev para desarrollar tu talento al máximo.· 400USD para tu aprendizaje constante.· Happy Points: Acumula puntos por tus logros y cámbialos por días libres.· Día de Cumpleaños libre.· Bonos de Referidos, Boda y Recién nacido.· Descuentos en OpenEnglish.· Salario: De acuerdo a tu experiencia y pretensiones salariales.
Si te interesa esta gran oportunidad, no dudes en inscribirte a la oferta.🤝
Amplía tu mundo y sé un Yellower💡
 "
Data Science Manager - Fraud & Risk (They/She/He),Glovo,Greater Barcelona Metropolitan Area,Hybrid,"
About Glovo
We’re a Barcelona-based startup and the fastest-growing delivery player in Europe, Africa, and Western Asia. With food at the core of the business, Glovo delivers any product within your city at any time of day.
At Glovo, you’ll have the job of your life while working together towards our shared vision to give everyone easy access to anything in their city. We welcome top performers that will bring new ideas, diverse perspectives, and provide you the opportunities and freedom to grow and make a real impact on millions of lives… all while having fun!
We believe that diversity adds incredible value to our teams, our products, and our culture. We know that the best ideas and solutions come by bringing together people from all over the world and by fostering a culture of inclusion where everyone feels heard and has the chance to make a real impact. It's because of this that we are committed to providing equal opportunities to talent from all backgrounds.
In your application, please feel free to note which pronouns you use (For example: she/her/hers, he/him/his, they/them/theirs, etc).
Your Work-life Opportunity
As a Fraud & Risk Data Science Manager you will be responsible for envisioning, leading and building an all-star team of Data Scientists working closely with key business and product leaders, analysts and engineers. You and your team lead the development of Fraud & Risk strategies, and preventive and predictive ML solutions to mitigate losses while establishing a balance between risk & customer experience. You will leverage our big data platform and use state-of-the-art machine learning algorithms and statistical models to deliver robust and highly scalable algorithmic products and solutions that have a direct impact on our global user base and our business.
Be a Part Of a Team Where You Will
Recruit, lead and manage an all-star team of Data Scientists of different seniority levels. Collaborate with business, product and engineering stakeholders to prioritise the most impactful work and ensure data science needs are accounted for.Manage the entire lifecycle of your team’s projects; from exploratory analysis to evaluation, deployment and iteration.Create the channels and tools for communicating results and monitor key metrics.Lead by example and motivate your team while bringing in new ideas on how to improve their ways of working.Ship fast and often measuring the impact using a robust experimentation framework.Coach and mentor your team to advance their careers and improve their professional skills.Act as data science evangelist, proactively looking for new opportunities to impact the business using data science tools and promoting its adoptionAct as data translator, being able to connect business problems with technical solutions and to architect them to be implemented by your teamActively collaborate with your colleagues and learn from each other in a supportive environment that allows you to grow, develop and make a difference 
You Have
2+ years of experience in a similar role, managing a data science team (5+ people) or multiple data science projects. Preferably in the digital/tech space.2+ years of strong hand-on experience as an individual contributor in industry or academia.At least an MSc, and preferably a PhD in a scientific discipline such as Physics, Statistics, Computer Science or Mathematics.You have intimate level of ability and proven record of success managing fraud risk, fraud prevention and detection with a team of data professionalsDeep theoretical and applied knowledge in one or more of the following areas: supervised and unsupervised learning, deep learning, reinforcement learning, game theory, statistical inference, bayesian statistics, causal inference, time series analysis, decision theory, mathematical optimisationDemonstrable experience at productizing models; from inception to deployment.Knowledge and experience working with modern machine learning platforms & deployment technologies/vendors. (MLFlow, SageMaker, etc.)Full proficiency on Python and SQL; can write, inspect and review code.Good understanding of modern application and data stacks (Microservices, Event Streaming, Data Lakes, Container-orchestration)Experience with big data (e.g. Scala and Spark) and cloud technologies (AWS, Azure, Google Cloud, Databricks).Experience in start-up and/or R&D environments.Excellent spoken and written communication skills (English).
We are always looking for the best candidates, so if you think you would be a good fit even if you don't meet 100% of the requirements we would love to hear from you!
Experience Our Glovo Life Benefits
Enticing equity plan Flexible schedule and hybrid remote work, with 2 days/week to work from home and up to 3 weeks/year to work from anywhere! Top-notch private health insurance Monthly Glovo credit to spend on our restaurant products and zero delivery fee on all Glovo orders! Cobee discounts on kindergarten, transportation, and food Discounted gym memberships Flexible time off (take the time you need) Enhanced parental leave including nursery support! Online therapy and wellbeing benefit 
What You’ll Find When Working At Glovo
Gas: Driven to deliver quality results quickly Good Vibes: Bring positivity and communicate openlyStay Humble: Self-aware and open to learningCare: Uplift people and the planetGlownership: Act as proud ownersHigh Bar: Focus on Top Performance
If you believe you match these values, we look forward to meeting you!
Wanna take a peek into what it's like to work at Glovo? Follow us on Instagram and like us on Facebook!
Glovo is transforming the way consumers access local goods, enabling anyone to get almost any product delivered in minutes. Our on-demand logistics connect customers with independent local couriers who acquire goods from any restaurant or store in a city, as well as deliver urgent packages for a variable fee. For additional information on Glovo, please visit https://about.glovoapp.com/
 "
Marketing Data Analyst (Junior),Grupo Planeta,"L'Hospitalet de Llobregat, Catalonia, Spain",On-site,"
                En Grupo Planeta nos encontramos en la búsqueda de un/a Marketing Product Manager para incorporarse al equipo de marketing de nuestra institución oficial de FP Barcelona | iFP ubicada en Hospitalet de Llobregat, Barcelona.

¿Cuál será tu misión?  
Analizar y comprender las necesidades y requisitos de negocio.Realizar análisis de procesos de negocio ya existentes y proponer mejoras o soluciones.Desarrollar junto con los equipos de la central y Business partners, el plan de lead gen & convertion rate.Colaborar con los interesados para definir y documentar los requisitos del proyecto.Desarrollar y mantener la documentación de los requisitos, incluyendo el alcance, objetivos, especificaciones funcionales y los casos de uso para la UAT. Definir posicionamiento de área y productos, así como USP y estrategia de precios que ayuden a los objetivos de negocio.Monitorear y controlar el progreso del proyecto, identificando y reportando desviaciones o problemas.Proporcionar soporte a los usuarios finales y resolver problemas o inquietudes relacionados con la solución implementada.Coordinación con diversos equipos externos e internos para cumplir las necesidades de negocio a nivel de producto y marca.

¿En qué consistirá tu día a día?
Recopilaras y analizaras datos para identificar tendencias, oportunidades de mejora y problemas potenciales en el negocio.Trabajaras con los stakeholders para identificar sus necesidades y requerimientos.Realizaras documentos funcionales para desarrollar y solucionar las necesidades detectadas.Realizaras demostraciones o informes para stakeholders con los hallazgos de la solución.Recopilarás datos del mercado y la oferta detectando oportunidades y transmitirlas al negocio. Realizarás presentaciones Participaras en las reuniones de planificación.

¿Qué ofrecemos?  
Contrato estable: Indefinido y a jornada completa - 40hrs/semanales (Horario flexible)Podrás desarrollarte profesionalmente gracias a nuestros planes de formación y desarrollo de talento interno.Descuentos y promociones exclusivas para nuestros empleados (masters y posgrados, sellos editoriales, coleccionables, Casa del Libro...).Un atractivo paquete de beneficios sociales a través del plan de retribución flexible que incluye: tarjeta transporte, tarjeta restaurante, cheque guardería, seguro médico, etc.

 Requisitos:

¿Qué nos gustaría ver en tu CV?  
Graduado en Estadística, Economía o ADE.Experiencia laboral 2 o 3 años como analista de datos (valorable en áreas de Marketing)Conocimiento en Microsoft Dynamics 365.Sólidos conocimientos del Pack Office (Excel)Conocimiento avanzado de Power BI.Capacidad analítica con visión de negocio. Capacidad de transmitir mensajes de manera clara a través de informes y presentaciones.

¿Te apetece unirte a este nuevo reto? ¡Te estamos esperando!
 "
Data Scientist,Hubtype,"Barcelona, Catalonia, Spain",Remote,"
What Is Hubtype
Hubtype is building tools that help companies communicate with their customers on messaging apps like WhatsApp or Telegram. Some of the largest companies in Europe (like EPSON, Levi's, Volkswagen or Allianz) use our products to attend to millions of customers every month. Our mission is to create better business-consumer relationships by embracing simple, meaningful, and customer-centric communication.
We are growing fast and we're in a unique position to become the leaders in the EU conversational apps space thanks to our award-winning, open-source chatbot technology, and exclusive partnerships.
What You'll Do
You'll help us improve communication between brands and their customers by helping our teams take advantage of our Data, by serving them with customized visualizations, computing tailored metrics, running and analyzing experiments, and extracting datasets. Support any other data or analytics need, by conducting full lifecycle analysis to include requirements, activities, design and resulting recommendations. Also helping maintain and improve our Data Lake, as well as internal procedures and methodologies of the Data team.
Requirements
Proven working experience (+2 years) as a Data Scientist, Data Analyst or Business Data AnalystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findings
Benefits
WHAT WE CAN OFFER YOU:
Fully remote policy and flexible working hours27 days holiday per year, plus national holidays, plus your birthday, plus a volunteer dayTax relief through flexible remuneration for Ticket Restaurant, Transportation, Nursery, Health Insurance, etcLearning&Development budgetWorkstation budgetReferral bonusQuarterly team activities
Want to know what other people think of Hubtype?
Hear from some of our customers: https://www.hubtype.com/success-cases/bankia-biz-case Read this explanatory blog-post: https://www.hubtype.com/blog/conversational-apps-will-replace-websites Hear from our current and past hires on Glassdoor: https://www.glassdoor.es/Resumen/Trabajar-en-Hubtype-EI_IE3144089.12,19.htm 
If you're ready to apply, here's what we'd like to see:
An up-to-date CVA motivation letter about yourself and why you think you fit the position. Be as specific as you can
 "
Metadata Analyst,Schneider Electric,"Barcelona, Catalonia, Spain",On-site,"
Mission:
Within the Data and Performance Team, Data Excellence is a cross-functional team responsible for promoting a data culture across the Schneider Group, through the dissemination of its operating model (DeXOM). Metadata management is the core capability upon which DeXOM relies, and the Data Intelligence Analyst should help implement and maintain a reliable and sustainable metadata environment. The tool chosen to achieve this goal is Data Intelligence Portal.
Key responsibilities:
Edit communication materials and manage stakeholder involvementLead training sessions for users, targeted for all of SchneiderDesign and monitor relevant dashboards for metadata managementParticipate in the functional management of data managersDevelop and improve new or existing workflows for the data governance communityParticipate in the design, implementation and monitoring of automatic metadata extractions, and the exploration of their contentSupport the definition of a start-up methodology in Data Intelligence Portal, for a project team or for a functionBe the partner of metadata managers to collect the needs and guarantee the integration, enrichment and consumption of new metadataEnsure version upgrades and implementation of corrections, for all Data Governance technologiesLead user support meetings
Skills and attributes:
You should have at least 2 years of experience in data governance, metadata management, data modelling, and data architecture conceptsYou must have experience in metamodel designExperience in defining and implementing the glossary of business termsExperience in the design and parameterization of metadata types and their modellingExperience in using API connections to ensure the integration of other systems with the Data Governance platformUnderstanding of technical metadata and their relationship to business metadata, i.e., with data elements, measures, indicators, etc.You must have very strong communication skillsGood managerial skills to lead and coordinate the metadata team
Desirable:
Have already used the Collibra environment in depth: its operating model, workflows, dashboards and other functionalitiesExperience in methodologies and software of knowledge graphs
 
Education
Required level of education: Master's degree or higher (economics or computer science or data management)
At Schneider Electric, Diversity & Inclusion is at the heart of our organisation, it's an integral part of our history, culture, and identity. We recognise that embracing diversity unlocks innovation and creativity and fosters collaboration. We want our employees to reflect the diversity of our communities and the customers we serve. As a result, our teams are stronger to drive the company's future.
We are proudly participating in the Disability Confident Program offering support to people in the workplace who consider themselves living with a disability.
What we offer you:
Competitive salary & Bonus Scheme, 28 Days Annual Leave + Public Holidays, Holiday Buy & Sell programme, Pension Scheme, Employee Share Ownership Programme, Various Health & Wellbeing Support Options, Gym Flex, Open Talent Market (internal mobility opportunities + access to mentors & projects globally), Shopping & Dining Discounts, Learning Portal and much more.
Apply now:
Please submit an online application to be considered for any position with us. You know about us, so let us learn about you! Apply today.
Why us?
Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.
€25.7bn global revenue
137 000+ employees in 100+ countries
45% of revenue from IoT
5% of revenue devoted for R&D
You must submit an online application to be considered for any position with us. This position will be posted until filled
It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.
 "
🏠 Arquitecto de datos DWH - DataMart 🏠,knowmad mood,Greater Barcelona Metropolitan Area,Hybrid,"
knowmad mood, anteriormente atSistemas
Si eres un apasionado de los Datos y estás buscando nuevos retos profesionales, tenemos los proyectos que estás buscando.
¿Qué puede ofrecerte knowmad mood?
Work mood:
Vacaciones: Descansa para volver con más fuerza
22 días de vacaciones + 2 días de libre disposición + 24 y 31 de diciembre.
Our mood:Ofrecemos una nueva forma de trabajar más flexibleFlex work: favorecemos una jornada diaria flexible para que tú decidas a tu ritmo cuándo empieza tu vida personal y cuando termina tu jornada laboral.Smart working: lo importante es que tú estés bien, tu desarrollo, y la orientación a resultados, no si vienes a la oficina. Por eso no hace falta ni que tengas la oficina cerca,mientras tengas una buena conexión, todo es posible.Beneficios y ventajas: destina parte de tu salario a determinados productos como tarjeta de transporte, tarjeta restaurante, cheques guardería, seguro médico o formación. Además disfruta en nuestra plataforma interna de todos los descuentos exclusivos para tu vida fuera de la compañía.Evolution mood:Crea tu propio plan de carrera y crece con nosotros.Mapa abierto de carrera: opciones de movilidad y crecimiento en nuestras comunidades tecnológicas.Formación a tu ritmo: nivel técnico, habilidades, metodologías, idiomas y certificaciones.Programa de desarrollo de liderazgo a tu medida y a tu ritmo.
Happy mood:knowmad mood nos encargamos de cuidar a nuestras personas y es un lugar fantástico en el que trabajar, convivir y desarrollarte.Nos gusta escucharte: encuesta de felicidad, línea directa CEO, evaluación 360ºCuidamos tu bienestar: a través de nuestro programa de bienestar integral centrado en: actividad física, nutrición saludable y equilibrio emocional.Y de tu vida: programa de conciliación 24 horas al día y 365 días del año para ti, tu pareja y tu familia: Consultas legales, asistente personal, plan dental, consulta veterinaria, gestor administrativaHacemos equipo: compartimos momentos de diversión, porque sabemos lo importante que es dedicar espacios donde conectar y reírnos más allá de los proyectos y equipos con nuestras actividades de team building:videojuegos online, scape room, ajedrez, etcNos gusta juntarnos: celebramos el verano y la navidad y nos reencontramos en nuestra Santa´s Summer Party y en nuestra Christmas Party.
¿Qué es relevante? Cuanto más mejor, pero tenemos ofertas tanto nivel medio como senior
Competencia en modelado y diseño de Datawarehouse / DataMart (Modelos en estrella, copo de nieve, dimensiones, tablas de hechos, etc.)Capacidad para implementar los modelos en bases de datos en columnas y NoSQLHabilidades de minería de datosConocimiento alto de SQL Server y PythonSería ideal que tuviera conocimientos/certificacion de Data Vault.

El horario es flexible, con viernes intensivo y los meses de julio y agosto también.
Si te identificas con estos valores, no lo dudes y únete a nuestro equipo!
 "
Senior Project Manager/ Data Analyst,Infosys,"Barcelona, Catalonia, Spain",On-site,"
Job DescriptionJob Title: Project Manager/ Data AnalystLocation: Barcelona or Valencia, Spain
IT Project Manager and Data Analyst is responsible for overseeing all aspects of any project in a company’s IT department, which includes managing a team of providers and employees to ensure projects are completed on time and within their specified budgets. 
Project Manager skills:•Organizing and managing all phases of the project to ensure on-time completion Managing resources for projects•Coordinating project team members and developing schedules and individual responsibilities•Implementing IT strategies that deliver projects on schedule and within budget•Using project management tools to track project performance and schedule adherence•Conducting risk assessments for projects•Organice meetings to discuss project goals and progress•Performs other related duties as assigned.
Data Analyst skills:•Build automated reports and dashboards with the help of Power BI and other reporting tools•Understand business requirements to set functional specifications for reporting applications•Be experienced in tools and systems on MS SQL Server BI Stack, including SSRS and TSQL, Power Query, MDX, PowerBI, and DAX•Create functional reporting
Must Haves•Great collaboration skills•3+ Years working as an IT Project Manager•Experience with ERP and PMS systems•Over three years of experience in data preparation, data gateway, and data warehousing projects •Over three years of experience working with the Microsoft Business Intelligence Stack (Power BI, SSAS, SSRS, and SSIS)•Two to three years of experience with a self-service tool such as Power BI or Tableau•Understanding of JavaScript, CSS, SQL, and other JavaScript libraries. Rest API and web scrapingn/Gender Identity/National Origin
 "
Data Engineer,Q-tech,Greater Barcelona Metropolitan Area,Hybrid,"
Desde Q-tech estamos en búsqueda de varios perfiles de tecnología para participar en un proyecto de transformación digital en el sector automoción.
Nuestro cliente es la mayor red de concesionarios y talleres oficiales de España. Establecidos desde hace años en el sector, ofrecen la selección más completa de vehículos nuevos, ocasión y km0.
Actualmente en plena transformación digital y de innovación. Pretenden renovar el servicio integral que rodea la automoción. Para ello me encuentro en búsqueda de un perfil con experiencia como Data Engineer para crear y evolucionar Data Lakes, participando en la implementación de la infraestructura y de los procesos, con el objetivo de asegurar la calidad, fiabilidad y disponibilidad de toda la información.

REQUISITOS
Conocimientos en SQL.Conocimientos en PL/SQL i/o Transact-SQL.Conocimiento en BBDD no relacionales.Experiencia con herramientas de ETL (Pentaho, etc).Experiencia con herramientas de Worflow.Se valorará experiencia construyendo Master Data.
Sería ideal....
- Interés o conocimientos básicos de Machine Learning.- Conocimientos en web services APIs, principalmente REST.
¿Qué perfil les gustaría?
- Un perfil que sepa trabajar en equipo, que le gusten los retos, con capacidad analítica, creativa, imaginativa y capaz de repensar lo pensado para mejorar lo que ya tienen.- Que le guste aprender y compartir sus conocimientos.- Curiosidad infinita.- Inquietud por descubrir tecnologías nuevas.- Mentalidad positiva y orientado a resultados.Capacidad de organización y de trabajo autónomo.
¿Qué ofrecen? - Contrato indefinido.- Horario flexible, con un modelo de teletrabajo híbrido.- Aprendizaje continuo con formaciones internas, cursos, asistencia a conferencias...- Retribución flexible. (Ticket Restaurante, transporte, guardería, mutua, etc.)- Formación continúa.
 "
